,state,year,enroll,total_rev,fed_rev,st_rev,loc_rev,total_exp,instruction_exp,service_exp,other_exp,capital_exp,rev_per_student,exp_per_student,ins_exp_per_student
51,Alabama,1993,727716.0,2827391,331409,1729295,766687,2833433,1564558,794146,237222.0,204207,3.8852945379791017,3.893597227489845,2.1499568512991334
52,Alaska,1993,121156.0,1191398,176150,775829,239419,1126398,494917,433788,36291.0,135791,9.833586450526594,9.297088051767968,4.0849565848988085
53,Arizona,1993,676297.0,3427976,318465,1415407,1694104,3623946,1578889,1000914,164083.0,680139,5.068743466258168,5.35851260614789,2.334608907033448
54,Arkansas,1993,311432.0,1346909,128196,771079,447634,1376067,782791,386526,68617.0,97824,4.32488954250045,4.418515117264764,2.5135214107734596
55,California,1993,5129788.0,28043338,2151157,17064146,8828035,28110986,15281147,8914559,1608514.0,1944760,5.466763538766124,5.479950828377313,2.97890419643073
56,Colorado,1993,539538.0,3058326,147793,1242337,1668196,3028305,1537714,954032,92163.0,318959,5.668416311733372,5.6127742624245185,2.8500569005334193
57,Connecticut,1993,471918.0,4064158,149204,1433539,2481415,4079943,2302852,1190914,143312.0,186802,8.612000389898245,8.645448997495327,4.8797714857242145
58,Delaware,1993,104355.0,683954,44497,443250,196207,694534,394680,207850,26548.0,47372,6.554108571702362,6.6554932681711465,3.7820899813137845
59,District of Columbia,1993,80937.0,721151,73882,0,647269,719440,339266,302281,39819.0,38074,8.910028787822627,8.88888888888889,4.191729369756724
60,Florida,1993,1980569.0,11370156,947326,5520893,4901937,11425183,5333136,3557043,852220.0,1424334,5.740853259846034,5.768636689759357,2.6927292106460317
61,Georgia,1993,893557.0,4716559,296231,2243580,2176748,4647974,2538712,1323320,260423.0,439808,5.278408652162089,5.201653615829768,2.8411304483093973
62,Hawaii,1993,177448.0,1062475,76183,962375,23917,1063090,580597,304362,95700.0,82431,5.98752874081421,5.990994544880754,3.271927550606375
63,Idaho,1993,231632.0,890835,72747,547454,270634,899819,499914,260805,41238.0,81359,3.845906437797886,3.8846920978103197,2.1582251157007666
64,Illinois,1993,1856841.0,10584624,632724,3467071,6484829,10744695,5520683,3352722,426411.0,852085,5.700339447480964,5.786545536209077,2.9731587141817744
65,Indiana,1993,958052.0,5833420,278090,3005534,2549796,5668599,2862585,1619011,268924.0,477709,6.088834426523821,5.916796791823408,2.9879223674706594
66,Iowa,1993,493957.0,2880731,131444,1299055,1450232,2889377,1522556,818922,114390.0,196098,5.831946910358594,5.849450458238268,3.082365469059048
67,Kansas,1993,451469.0,2386945,123082,1165178,1098685,2522542,1309958,802965,142268.0,195674,5.287062899113782,5.5874091022860926,2.901545842571694
68,Kentucky,1993,489281.0,2381148,216900,1529326,634922,2283431,1247496,711873,151526.0,127578,4.866626744140892,4.666911243232416,2.5496514272984236
69,Louisiana,1993,795719.0,3438321,397206,1876967,1164148,3427102,1898515,997974,262609.0,173012,4.321024130377683,4.306924932042593,2.3859113581553286
70,Maine,1993,211511.0,1368095,77440,652164,638491,1321846,809278,328664,67864.0,55490,6.468197871505501,6.249537849095319,3.8261745252019987
71,Maryland,1993,751850.0,4918010,252211,1940713,2725086,4898895,2785206,1508203,224147.0,324925,6.541211677861275,6.515787723615083,3.7044703065771096
72,Massachusetts,1993,862495.0,6121612,305113,1924321,3892178,5679261,3237228,1720824,191641.0,59238,7.097562304709013,6.584688606890475,3.7533295845193306
73,Michigan,1993,1600650.0,11034174,594226,3326748,7113200,11430958,5411969,3689748,715410.0,932700,6.893558241964202,7.141447536938119,3.3811070502608316
74,Minnesota,1993,781566.0,4862635,213724,2284106,2364805,5290504,2756415,1327959,466306.0,512196,6.221656264474145,6.7691071515393455,3.526784686130154
